,Full_Text,Label
0,"Don't forget to come and join us today @16.30 

https://t.co/faT402xHzM https://t.co/DWDyVU7K3F",0.0
1,"Hey Destiny community, I’m REALLY happy to say that https://t.co/9vCyXOUBwq will be sticking around next season! We… https://t.co/W5xwkYItIQ",0.0
2,"⦋PDF⦌ Hell Bent (Alex Stern #2) by Leigh Bardugo

Click Here ➡ https://t.co/DwqlC9PlDx

Find a gateway to the under… https://t.co/DjiBhvMxk6",0.0
3,How to Increase Your Average Open Rate For Email 💡 📬 #openrate #arenot https://t.co/4mdln7CPFs,0.0
4,See an Online Therapist for Depression. See: https://t.co/Rm7CoqhxjW #depression #depressiontreatment #depressionrecovery #depressionhelp,0.0
5,"https://t.co/91HSOmQny1
In other news...
https://t.co/ofdNMVtLQy
#SunakFail",0.0
6,"With the latest developments, any project will appear within the inflation universe!

https://t.co/xjotlKsWLE… https://t.co/ntCYYrH09o",0.0
7,"The event is a benefit show set for Nov. 10 at Kelly's Irish Times in northwest D.C.
https://t.co/1ZikpSq77v",0.0
8,"FREE Mint:👇
https://t.co/ra9WntRDja
Okay Gamer Bears

#NFTGiveaway #freemint #NFTs #nft  #NFTCommunity… https://t.co/OFnRZm15KT",0.0
9,"JOB: Customer Service Agents (📍Majestic Mobiles)

Employer: Majestic Company https://t.co/Zf4TLxxUZA

Deadline: 17… https://t.co/QCPIhIf2Je",0.0
10,"SBF States FTX is “Fine”, Competitor Spreading False Rumors #crypto #defi #BTC #ETH #TRX https://t.co/srayHA5sdO",0.0
11,Today is my 6 year Starlingversary. This one feels particularly special 😌 https://t.co/VdorhRlBl3 https://t.co/3js29BJYP9,0.0
12,Estonian crypto exchange Coinmetro garners €7 million https://t.co/QBPvBOucNd,0.0
13,"Operational Resilience Manager, Manchester, £65k-75k, Consultancy https://t.co/6hHPjGc1Jv #cybersecurity #InfoSec #hiring #jobs",0.0
14,"*In Meeting* When Client asks in Urdu - 
Apki Tareef?

Le Innocent me - https://t.co/JgTWmQRVLm",0.0
15,"🚨🚨🚨 Crypto alert:

• MACD Cross alert (15m)
• Pair #QTUM-#USDT

#blockchain #crypto #trading #meta #nft 

https://t.co/EDFL73Le21",0.0
16,"@kynjaveira @Jon_Gnarr @WilhelmEmilsson Understanding Korea 6: Culture
https://t.co/fLwd5fwihs

Understanding Korea… https://t.co/bxqbCDdn8x",0.0
17,"Grace Jamaican Jerk Competition launches new app &amp; NFT

Read More Here: https://t.co/C1AjE5KVT5

#nft #metaverse… https://t.co/eiO7eV7UPv",0.0
18,"@kynjaveira @Jon_Gnarr @WilhelmEmilsson Understanding Korea 10: Reunification Question
https://t.co/8XEZZq3kzs",0.0
19,"#AveLaw is hiring!
Help Desk Technician, FT. For more info:
https://t.co/DNKN1JUPis
#itjobopportunity #IT #jobsearch https://t.co/jEhw7Zq4PX",0.0
20,"#Plainsboro #jobs #hiring #opportunity @ CSI Labor (Plainsboro, NJ) - Talent Acquisition Coordinator (Hybrid) https://t.co/rjbYvg6Clr",0.0
21,https://t.co/J837MGf2YU Global Rate-Hikes Smash Into The Wall Of Debt Maturity,0.0
22,"#Catalent is hiring! #Director #Quality, Oxford in #Oxford, apply now! #job https://t.co/XvF6H3lfwd https://t.co/pkY2RZtNF4",0.0
23,"&gt; Regular Pot Smokers Have Shrunken Brains, Study Says
https://t.co/enz9eMmvFU

&gt; Respiratory Effects of Marijuana… https://t.co/DDhrWwA8Vp",0.0
24,@zannerose yess! also i love this song https://t.co/PfjToOdScT,0.0
25,System of a down   Science   Lyrics   YouTube https://t.co/N7PYCjx1tr via @YouTube,0.0
26,Judge may unseal secret court docs showing Trump’s attempts to block aides from testifying: report https://t.co/lGeBRHwLMW,0.0
27,"@DiamondandSilk KEEPING IT REAL

Banned by millions of voters.

https://t.co/oSHgP2Gwcw",0.0
28,Arsenal laying the foundations to sign Tottenham target playing in Frankfurt https://t.co/EA2Unbi1nN,0.0
29,Denzel Ward Playing Against Bengals Looks to be in Doubt #ClevelandBrowns #Browns #BrownsNation #GoBrowns #yahoo https://t.co/bcFX4Sg1R8,0.0
30,Sherman homicide detectives looking for information in five countries https://t.co/TpkEfLmkYR via @torontostar,0.0
31,"Y’all click this link and make my audition tape blow up please, thanks for your support ❤️ https://t.co/cQifpi3njG https://t.co/KY0ViQ1pMS",0.0
32,Funny Memes That Will Make You Laugh If You Grew Up In The 90s https://t.co/gi73AAWGL7,0.0
33,Blaine fall sports will finish up their regular season action this week as some teams start postseason games. https://t.co/fXINKkAcHy,0.0
34,"The beats I make are up for sale! DM for rates and info.A retweet would be appreciated! Thanks.

https://t.co/78bXO8SwlW",0.0
35,"NESTOR GIRLS LACROSSE CLINIC!
Sign up here ➡️ https://t.co/GBaO5ZAzs6
November 8- December 20, 2022
Coached by: Sal… https://t.co/lYcqe7t5if",0.0
36,"The Perfect Ren Faire Fit, Spooky Heels, and Biannual Make-Up Sale! https://t.co/1TEq2d2FBY",0.0
37,"Nicaragua's Ortega says US sanctions will make more migrants https://t.co/6VtlHnqwBy via @Yahoo 
Corrupt dictator O… https://t.co/hhAT4rNJ6L",0.0
38,"Dusty Baker helped create the original high-five 🤯

Remember when he tried to come up with the 𝙣𝙚𝙭𝙩 high-five?
https://t.co/KKIEO9xeA9",0.0
39,4\ Expand your marketplaces. Walmart + https://t.co/JQYghpJj6W make up nearly 30% of our ecommerce sales. Get your… https://t.co/82hCbyGt0M,0.0
40,"Scottie Barnes is matching up with the 76ers for the 8th time since last season. https://t.co/InG6hTEbU6 

Check ou… https://t.co/F05nXrZEL6",0.0
41,"Sign up for a month of #FREE movies, thanks to @CompassionCA #client https://t.co/Vut5ANbnfi",0.0
42,"THIS IS THE MOST IMPORTANT $GME POST I NAY EVER MAKE; READ ME 

https://t.co/ncbiSmnMmw

These mother fuckers are s… https://t.co/DEGqNpNxTB",0.0
43,"#UPYoddhas vs #PatnaPirates LIVE: Patna beat UP

#ProKabaddi #ProKabaddiLeague 

https://t.co/fOrK0SkOi5",0.0
44,"@getblacknews https://t.co/dR7ICX2ecT
NO OPRAH THATS NOT GONNA MAKE UP FOR YOU UNLEASHING DR OZ UPON US !",0.0
45,"Abujaaaaa the Queen got something for u tomorrow, please show up n make us proud. Pls fam let's engage 👇👇👇

https://t.co/yYcL29UuDq",0.0
46,Always Gretest Hits. Now The Deeper The Love - Whitesnake on https://t.co/NsuK1ySEHj,0.0
47,"Abujaaaaa the Queen got something for u tomorrow, please show up n make us proud. Pls fam let's engage 👇👇👇
https://t.co/aPiQR7AzGy",0.0
48,"Our @TT_cellerbrock took the trip up to Aurora and brought home the story of @LadyCruVB winning a 1A regional title!
https://t.co/rSfyd3PV7e",0.0
49,"&gt; Teen Marijuana Use Linked with Schizophrenia
https://t.co/hWsogDmDDF

&gt; Teens Who Smoke Weed Daily are 60% Less L… https://t.co/hNed2w35Mx",0.0
50,"Crypto news, Charles Hoskinson Makes Cardano (ADA) Prediction, Says Ecosystem Will Become Network of Blockchains https://t.co/cAMWSPLgdd",0.0
51,Drilling at Helmi continues to expand the #gold mineralization to the west https://t.co/GgQduo74Z6 #Finland #gold #metals #mining $AU.V,0.0
52,"#Spare 👎👎👎👎👎🤣🤣
Prince Harry's memoir advertised for half-price at £14 by WHSmith https://t.co/qdPkvpYekL via @MailOnline",0.0
53,"Economy expert on inflation: 'This is not transitory, it isn't temporary'

https://t.co/0Nbx4GOuHn",0.0
54,"https://t.co/l5cV87yKzY without end hath no end
#东莞   #东莞线下 https://t.co/UtE3lqB5Ku",0.0
55,"These 4 free devices from Mass Save could reduce your utility bills 
 https://t.co/eVBXLELQH1",0.0
56,🚨🚨🚨 Crypto alert:• MACD Cross alert (15m)• Pair #TRX-#USDT#blockchain #crypto #trading #Meta #nft https://t.co/GPsCuZydHm,0.0
57,"🚨🚨🚨 Crypto alert:

• MACD Cross alert (15m)
• Pair #ETH-#USDT

#blockchain #crypto #trading #Meta #Nft 

https://t.co/KO2uWelyFM",0.0
58,"Please see below a link to our latest letter to parents/carers...

https://t.co/5ZzyiSFNW9",0.0
59,Announcing a16z crypto research https://t.co/lnNrTB6TFL,0.0
60,"ADMA Biologics, Inc $ADMA quarterly revenue growth rate YoY of 90.20% ranked

⭐⭐⭐⭐⭐

in our db. Impressive! https://t.co/hGe1kazxK2",0.0
61,Swiss Resource Capital AG – Batteriemetall Report 2022 https://t.co/ZMJSMqZ57l,0.0
62,"Business has always been about pipeline and sales, now though this is true more than ever. https://t.co/QjEqTWXPLa… https://t.co/BDlGjUcRHH",0.0
63,Great Behavioural Science Webinar from Ogilvy Consulting Germany https://t.co/rkvzERdkj5,0.0
64,"We're hiring! Read about our latest job opening here: Driver Helper - https://t.co/yVu6dtgCPH #Transportation #Yonkers, NY",0.0
65,"Now Hiring: Coordinator, First Year Experience: Florida Gulf Coast University, Fort Myers FL - 33965 https://t.co/JvQlXERyzm",0.0
66,"7 Startups Join Mastercard Program to Make Cryptocurrency More Accessible – Featured...
https://t.co/uVagv8CqnM
#crypto #startups",0.0
67,"#TEXINFRA TEXMACO INFRASTRUCTURE &amp; HOLDINGS numbers.
.
https://t.co/gWSpwHbju8 https://t.co/SBRcFKmzAS",0.0
68,"Hiring! Application Support Analyst, £45K - #WestLondon. https://t.co/FPY7QqtthU https://t.co/RRrKezsNxt",0.0
69,"Tezro Payments System Introduces Web3 Alternative to Swift
https://t.co/JlQnELgIe0
#B2B #crypto #Web3",0.0
70,"07.11.2022|https://t.co/HkWMyMT2Dv: BudBlockz (BLUNT), Chainlink (LINK), And Ripple (XRP) Are The Crypto Big Three… https://t.co/5Mieyj80sz",0.0
71,"🚨🚨🚨 Crypto alert:

• MACD Cross alert (15m)
• Pair #LTC-#USDT

#blockchain #crypto #trading #meta #nft 

https://t.co/1IQ9ocD6Dm",0.0
72,When you really need continuing slimming try this first rate blog site https://t.co/ZCi42a2L9I,0.0
73,Niieria GDP over the last 4 decades https://t.co/4oGl8txlQb,0.0
74,This time last year I published my first book Alpha Drive (https://t.co/EwBpraimWi). Thanks to those who supported.… https://t.co/3GfhbVlVgc,0.0
75,New #job: IT Applications Lead Location: Bracknell Salary: £30kpa - £35kpa .. https://t.co/PS1Ni5FYvU #jobs #hiring,0.0
